gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
SORBS2	Hannum	4	0.00058919000267989	0.000785026055428066	0	4	281
TRAF3	Hannum	4	0.00063700266846263	0.000292677383716059	0	4	282
ANO1	Hannum	4	0.000706318673034806	0.000840124356210377	0	4	283
JAKMIP3	Hannum	4	0.000925744405224227	0.00078642805774573	0	4	284
RP11-1055B8.7	Hannum	4	0.00123018386422273	0.000562606391762402	0	4	285
COL18A1	Hannum	4	0.00126154039894291	0.000703042203479737	0	4	286
ARHGAP27	Hannum	4	0.00192508308789034	0.000626965379059808	0	4	287
TUBB8	Hannum	3	7.57072605435668e-07	0.000501979632577223	1	2	288
FLNB	Hannum	3	1.58185039437621e-06	0.000477768853432491	0	3	289
TRAK1	Hannum	3	2.04717428327894e-06	0.000729406440705809	0	3	290
TCF25	Hannum	3	2.40766663501793e-06	0.000492567008776739	0	3	291
EPHA2	Hannum	3	4.39374326804355e-06	0.000443195708810601	0	3	292
MUM1	Hannum	3	8.14049391438587e-06	0.000443368424123146	0	3	293
BCL3	Hannum	3	8.81270256473073e-06	0.000339585737214896	0	3	294
MGAT5B	Hannum	3	1.05663659057062e-05	0.000876461491671513	0	3	295
RARA	Hannum	3	1.20529945527977e-05	0.000905281351219369	0	3	296
PRDM15	Hannum	3	1.23927938408055e-05	0.000505958917987058	0	3	297
CLEC16A	Hannum	3	1.25975847782024e-05	0.000408959605956242	0	3	298
CAPN10	Hannum	3	1.43656012098164e-05	0.00045021203780324	0	3	299
SNX29	Hannum	3	1.61017680594262e-05	0.000345147902415321	0	3	300
CCDC127	Hannum	3	1.63240257559793e-05	0.000474900383914631	0	3	301
RP11-517H2.6, CCR6	Hannum	3	1.78794237876509e-05	0.000489194924875605	0	3	302
CLSTN1	Hannum	3	1.87076396209916e-05	0.000326744114456845	0	3	303
SRRT	Hannum	3	1.87780618810759e-05	0.000644174291733736	0	3	304
DSCAML1	Hannum	3	1.9991577609242e-05	0.000344037535104867	0	3	305
MPO	Hannum	3	2.04759392160871e-05	0.00139335992484102	0	3	306
KDM2B	Hannum	3	2.17182021185503e-05	0.000419909450119511	0	3	307
PVT1	Hannum	3	2.31821320203088e-05	0.000448062884415202	1	2	308
ZNRD1-AS1	Hannum	3	2.42629307805687e-05	0.000704798665274038	0	3	309
CHRNB2	Hannum	3	2.44925566877151e-05	0.000554287997263445	0	3	310
KIF26A	Hannum	3	2.55067586019287e-05	0.000714265565557984	0	3	311
NFIA	Hannum	3	2.91069778144435e-05	0.000327069282021403	0	3	312
PCNT	Hannum	3	3.03147127619019e-05	0.000440622176190543	0	3	313
