gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
HLCS	DunedinPACE	3	8.70509058428049e-11	0.0405184606080616	0	3	207
PALM	DunedinPACE	3	1.05472595169555e-10	0.0488982429042658	0	3	208
SCARB1	DunedinPACE	3	1.13431613299469e-10	0.0469935031144167	1	2	209
PDE9A	DunedinPACE	3	1.37261407997473e-10	0.0609699034067951	2	1	210
EHD1	DunedinPACE	3	1.54699991768262e-10	0.038685278682239	2	1	211
RCC2	DunedinPACE	3	1.59504526864536e-10	0.0245279441968913	0	3	212
PLAGL1	DunedinPACE	3	1.82259316528584e-10	0.0310523733503808	0	3	213
ADCY9	DunedinPACE	3	1.98757812260145e-10	0.0403527729179108	0	3	214
PVT1	DunedinPACE	3	2.57602632446033e-10	0.0355905055916032	2	1	215
MBP	DunedinPACE	3	2.65032307356197e-10	0.0758096412954702	0	3	216
MARCH8	DunedinPACE	3	2.84522934943245e-10	0.0673759086790783	0	3	217
CLN8	DunedinPACE	3	3.85410801056343e-10	0.0425635376776443	1	2	218
LRRFIP1	DunedinPACE	3	4.34938106162419e-10	0.0325859371225061	0	3	219
EIF2B5, EPHB3	DunedinPACE	3	4.41355555856445e-10	0.0359305604408246	0	3	220
KCNQ2	DunedinPACE	3	4.88538866525056e-10	0.0570735601056052	0	3	221
CCDC57	DunedinPACE	3	5.30895448173018e-10	0.0546610658014847	2	1	222
RUNX3	DunedinPACE	3	5.72250756275822e-10	0.0340541795380445	2	1	223
HDAC7	DunedinPACE	3	6.02454938965603e-10	0.0405902356434734	1	2	224
TCEA2	DunedinPACE	3	6.40173542582466e-10	0.0352925868747861	0	3	225
RGS10	DunedinPACE	3	6.88548880776728e-10	0.0374683983795174	2	1	226
PARD3	DunedinPACE	3	7.42724076205451e-10	0.0486957171435514	0	3	227
PIK3R2, PIK3R2	DunedinPACE	3	8.26975764279574e-10	0.0460958965765719	0	3	228
HPCAL1	DunedinPACE	3	8.7671286633899e-10	0.0329808826007493	2	1	229
MAG	DunedinPACE	3	9.63860209481414e-10	0.0181923639513583	1	2	230
RNF14, PCDH12	DunedinPACE	3	1.07878760514324e-09	0.0330640153886514	0	3	231
KLF13	DunedinPACE	3	1.12134869422745e-09	0.0709448415762814	1	2	232
AC073957.15, C7orf50	DunedinPACE	3	1.1826413799592e-09	0.0402293407727978	1	2	233
TOLLIP	DunedinPACE	3	1.27546876274122e-09	0.0357485415065122	1	2	234
PLEKHF1	DunedinPACE	3	1.43816249865798e-09	0.0271833642029104	2	1	235
ZC3H12D	DunedinPACE	3	1.53214510178398e-09	0.0608611008556637	0	3	236
IQSEC1	DunedinPACE	3	1.58474725997258e-09	0.025196383544991	0	3	237
ARHGAP39	DunedinPACE	3	1.74245112726102e-09	0.0397609208932884	1	2	238
FHL3	DunedinPACE	3	1.75918032124526e-09	0.0551978625001062	0	3	239
SSH1	DunedinPACE	3	2.15122738018265e-09	0.0407775874659927	1	2	240
PTDSS2	DunedinPACE	3	2.46900427546913e-09	0.0246184393978536	0	3	241
IFFO2	DunedinPACE	3	2.58602915043885e-09	0.049322120607639	0	3	242
ITGA2B	DunedinPACE	3	2.6810272506512e-09	0.0509357734146497	0	3	243
LYST	DunedinPACE	3	3.0552655466439e-09	0.0502020843312535	0	3	244
LINC00940	DunedinPACE	3	3.10533682586191e-09	0.0644438540938437	0	3	245
NAV2	DunedinPACE	3	3.15620078046416e-09	0.0541147242941906	0	3	246
TRIM27	DunedinPACE	3	3.23402825784671e-09	0.0387320788562069	0	3	247
GPR133	DunedinPACE	3	3.23802510921129e-09	0.0460832750590512	2	1	248
ZDHHC14	DunedinPACE	3	3.24110436908873e-09	0.057574984789764	0	3	249
DHX16	DunedinPACE	3	3.33166498395419e-09	0.0251521554633461	0	3	250
TPCN2	DunedinPACE	3	3.61379543897392e-09	0.0316401363442163	0	3	251
EXD3	DunedinPACE	3	4.13208707193644e-09	0.0413020478818479	0	3	252
ZFHX3	DunedinPACE	3	4.58840808514755e-09	0.0310431124661424	0	3	253
INTS1	DunedinPACE	3	4.89456711366915e-09	0.0335405943489854	0	3	254
PITPNM2	DunedinPACE	3	4.89456711366915e-09	0.046048512438981	1	2	255
VGLL4	DunedinPACE	3	5.19600414772082e-09	0.0324528988460034	1	2	256
FBLN2	DunedinPACE	3	5.69074974553549e-09	0.020166369690114	1	2	257
KCNH2	DunedinPACE	3	6.03498355405146e-09	0.0435764103043912	0	3	258
SCN8A	DunedinPACE	3	6.71651172766967e-09	0.0304847947193252	0	3	259
LRRC27	DunedinPACE	3	7.13595708410361e-09	0.0699050922685114	0	3	260
HEXDC	DunedinPACE	3	7.68221577265539e-09	0.0465794974347128	1	2	261
RP11-1055B8.7	DunedinPACE	3	9.05135125792351e-09	0.0446629238113746	1	2	262
SNX29P2	DunedinPACE	3	1.10189736787213e-08	0.0326332058915996	0	3	263
TFR2	DunedinPACE	3	1.1422121652185e-08	0.0406629058465665	0	3	264
TBC1D16	DunedinPACE	3	1.3130039451587e-08	0.0345225920784602	0	3	265
ASAP1	DunedinPACE	3	1.53899309994334e-08	0.0515400772289416	0	3	266
GALNS	DunedinPACE	3	1.65237987027741e-08	0.0231695552549028	0	3	267
SH2B2	DunedinPACE	3	2.99053641286192e-08	0.0469366721839256	0	3	268
CELSR3	DunedinPACE	3	3.033244381826e-08	0.0302252917212601	2	1	269
CYB561	DunedinPACE	3	3.11980659911624e-08	0.0308529399188916	0	3	270
CACNA2D2	DunedinPACE	3	4.02646595297524e-08	0.0430132498946624	0	3	271
RAB37	DunedinPACE	3	4.08414877581821e-08	0.0272555285479699	0	3	272
CSNK1G2	DunedinPACE	3	4.55482600382067e-08	0.0268766550773029	1	2	273
CROCC	DunedinPACE	3	4.77981803989029e-08	0.0378628851395716	0	3	274
ITK	DunedinPACE	3	4.83275650424056e-08	0.0576911710972657	2	1	275
SPSB1	DunedinPACE	3	5.09628306853815e-08	0.0243389964998358	0	3	276
WDR86	DunedinPACE	3	5.47882969883986e-08	0.0332032272713579	0	3	277
LHFPL2	DunedinPACE	3	6.00949936305386e-08	0.069970255179947	0	3	278
EPS8L2, AP006621.9	DunedinPACE	3	6.65378796552495e-08	0.0259829600603206	0	3	279
CPLX1	DunedinPACE	3	9.45359475285546e-08	0.0428035111815012	0	3	280
PCSK6	DunedinPACE	3	9.8152932646077e-08	0.0393059500925688	0	3	281
WNT5B	DunedinPACE	3	1.04888694555436e-07	0.0330505167321866	1	2	282
NBEAL2	DunedinPACE	3	1.10332074470395e-07	0.0298633795728759	0	3	283
KCNN3	DunedinPACE	3	1.13655818965689e-07	0.0553687980508738	0	3	284
LHPP	DunedinPACE	3	2.12906161501251e-07	0.0576545982397601	0	3	285
PDIA6	DunedinPACE	3	2.14527982793958e-07	0.031762428079675	0	3	286
FAM19A5	DunedinPACE	3	2.33710557919735e-07	0.019455517622705	0	3	287
