outcome,build,nsnp,beta,se,pval,fdr
VPS53_Q5VIR6_OID21281_v1_Oncology,GRCh37,84,-0.019788795022655,0.00927423146419965,0.0328641017860707,0.0373259882645166
PLG_P00747_OID30785_v1_Inflammation_II,GRCh37,84,-0.0188610090602622,0.00885862883987334,0.033245031654149,0.0377409671469188
GLP1R_P43220_OID30809_v1_Neurology_II,GRCh37,84,0.020386500729876,0.00962372227376965,0.0341446574790689,0.0387441249037517
PCDH1_Q08174_OID20614_v1_Inflammation,GRCh37,84,0.019255958566778,0.0091111959415972,0.0345631946717584,0.0392007060653043
PTP4A3_O75365_OID30469_v1_Inflammation_II,GRCh37,84,0.0196838581841134,0.0093163529048907,0.0346154287028843,0.0392416028192511
EDF1_O60869_OID31010_v1_Neurology_II,GRCh37,84,0.0197911124793928,0.0094421512134294,0.0360787756803359,0.0408814151333466
FGF7_P21781_OID31241_v1_Oncology_II,GRCh37,84,-0.0198792586823469,0.00966702738477558,0.0397441400099428,0.0450136711783946
CLSTN1_O94985_OID20874_v1_Neurology,GRCh37,84,-0.0196840190128872,0.00958859660921373,0.0400864348482375,0.0453801637619338
SPARCL1_Q14515_OID20361_v1_Cardiometabolic,GRCh37,84,0.0160527253508829,0.00785986472316386,0.0411151782436486,0.046523051501442
CXCL8_P10145_OID21430_v1_Oncology,GRCh37,84,0.0185473635215887,0.00914819923106974,0.042618121910381,0.0482011952235824
CHIT1_Q13231_OID20312_v1_Cardiometabolic,GRCh37,84,0.0135766140479262,0.00670251472305534,0.0428057881045423,0.0483908862728889
CRADD_P78560_OID20923_v1_Neurology,GRCh37,84,-0.0188986806036521,0.00935183712587479,0.0432950675971169,0.0489212081931092
SAA4_P35542_OID30726_v1_Inflammation_II,GRCh37,84,-0.0181298027257581,0.0090566477417549,0.0453038073193749,0.0511671492350109
RELT_Q969Z4_OID21142_v1_Neurology,GRCh37,84,-0.0161875123076627,0.00811761008493702,0.0461386232761015,0.0520857608505455
CTF1_Q16619_OID20061_v1_Cardiometabolic,GRCh37,84,0.0189313302101807,0.00949792407077886,0.0462387680164295,0.0521745354455153
LPL_P06858_OID20188_v1_Cardiometabolic,GRCh37,84,0.0155507964819273,0.00780554278796604,0.0463407705761304,0.0522653228348175
TGFBI_Q15582_OID20417_v1_Cardiometabolic,GRCh37,84,-0.0165493205472565,0.00831538317444109,0.0465683130434924,0.0524948557949492
TRIM5_Q9C035_OID20526_v1_Inflammation,GRCh37,84,-0.0179653592094486,0.00902767975133983,0.0465875616350064,0.0524948557949492
IL2RA_P01589_OID20267_v1_Cardiometabolic,GRCh37,84,-0.0165566165437984,0.0083433450164531,0.0472101620249575,0.0531717052333086
