gene_symbol	MTI_continuous	GNN_EXERCISE_SUP_MTI_MULTI_pred	GNN_EXERCISE_SUP_MTI_MULTI_multi_prob	GNN_EXERCISE_SUP_MTI_MULTI_rank_MTIonly	GNN_EXERCISE_SUP_MTI_MULTI_rank_MTIonly_scaled	GNN_EXERCISE_SUP_MTI_MULTI_hybrid_score	GNN_EXERCISE_SUP_MTI_MULTI_rank	GNN_EXERCISE_SUP_MTI_MULTI_rank_scaled	MR_nominal_any
STX3	-0.236563220702674	-3.1747832	0.31575516	1924	0.3626118660921445	0.9479418	563	0.8137222406363938	True
SNAP25	-4.58059582743256	-3.1747832	0.31575516	1925	0.3622804110043089	0.9479418	564	0.8133907855485581	True
VAMP8	-4.09414424994478	-3.1747835	0.31575516	1927	0.3616175008286377	0.9479418	565	0.8130593304607225	True
NPC2	3.81441688217611	3.3941326	0.07343985	379	0.8747099767981439	0.94618416	568	0.8120649651972158	True
CEP152	3.2229123252525	0.521227	0.17857577	834	0.7238979118329466	0.94175684	569	0.8117335101093802	True
CTLA4	0.906658177510621	2.9344778	0.08962726	437	0.8554855817036792	0.94155574	570	0.8114020550215446	True
UBQLN3	3.59531666573285	3.0973113	0.08339529	413	0.8634405038117335	0.9401189	571	0.811070599933709	True
CHCHD10	6.50852191247622	3.13704	0.081861496	407	0.8654292343387471	0.93968606	572	0.8107391448458734	True
CASP10	3.88075455890258	1.9278532	0.12639993	582	0.8074245939675174	0.93959993	573	0.8104076897580378	True
WNT9B	0.0	-1.3133291	0.24564812	1414	0.5316539608882996	0.9385311	574	0.8100762346702022	True
IL5	2.84642331278392	3.055243	0.08460606	422	0.8604574080212132	0.9380213	575	0.8097447795823666	True
SFTPA2	0.934116180191647	2.8721104	0.09120828	451	0.8508452104739808	0.9371229	576	0.809413324494531	True
PI16	0.590012014132647	2.2428787	0.113892585	536	0.822671528007955	0.93403333	577	0.8090818694066954	True
CANT1	2.28878847179729	2.7063782	0.09630473	469	0.84487901889294	0.9308782	578	0.8087504143188597	True
NRTN	0.549626703960486	2.8995328	0.08906815	447	0.8521710308253232	0.93013734	579	0.8084189592310242	True
SART1	-3.24238791182222	2.454843	0.105218954	506	0.8326151806430229	0.9286919	580	0.8080875041431886	True
CRYM	4.09843937373568	3.4704778	0.06609337	369	0.8780245276764999	0.91815186	581	0.807756049055353	True
TPRKB	3.16368039534091	3.5816925	0.061467763	355	0.8826648989061983	0.91488755	582	0.8074245939675174	True
LSM8	4.13850171002916	3.489233	0.06424797	365	0.8793503480278422	0.91101396	583	0.8070931388796818	True
SERPINA7	0.816658429619211	2.5397549	0.09917414	493	0.8369240967848857	0.9106599	584	0.8067616837918462	True
F10	5.87936610836341	2.5723133	0.097568296	484	0.839907192575406	0.908148	585	0.8064302287040106	True
CXADR	0.910414721539094	2.6524253	0.09458995	479	0.8415644680145841	0.90798336	586	0.806098773616175	True
C2CD2L	4.53499418976432	2.1284585	0.11375909	556	0.8160424262512429	0.9071402	587	0.8057673185283394	True
FCER1A	1.60967209378286	2.9075813	0.08472649	445	0.8528339410009944	0.9051251	588	0.8054358634405038	True
NTF3	1.60258642987406	2.9793937	0.082000375	431	0.8574743122306927	0.9046293	589	0.8051044083526682	True
SPARCL1	0.10650749560564	1.9318646	0.12049586	579	0.8084189592310242	0.9040071	591	0.8044414981769971	True
SLAMF7	0.591953969287625	2.5549426	0.0975167	489	0.8382499171362281	0.90387154	592	0.8041100430891615	True
PSMD9	7.56659198257657	2.7631211	0.08976854	464	0.846536294332118	0.90339017	593	0.8037785880013258	True
GM2A	3.48012631256444	2.8655539	0.085539214	452	0.8505137553861452	0.9005755	594	0.8034471329134902	True
SERPIND1	2.40088529318808	2.1737027	0.11055098	548	0.8186940669539278	0.89761114	595	0.8031156778256546	True
DDX39A	0.549516321232234	2.6025472	0.09466416	483	0.8402386476632416	0.89707875	596	0.802784222737819	True
PCSK9	0.808230520424343	2.3844287	0.10236721	514	0.8299635399403381	0.8950167	597	0.8024527676499834	True
FLRT2	1.33339011049943	2.0829444	0.11347119	564	0.8133907855485581	0.8949908	598	0.8021213125621478	True
FNDC1	3.10980587346937	0.75428194	0.1622041	781	0.7414650314882334	0.8936211	599	0.8017898574743122	True
FAM3B	4.5900783819544	3.4911988	0.06116061	364	0.8796818031156778	0.89237165	601	0.801126947298641	True
CC2D1A	3.92308832741226	1.8217399	0.12216099	603	0.8004640371229699	0.8892141	602	0.8007954922108055	True
NFASC	-2.6735182610403	-0.2306795	0.19763471	1131	0.625455750745774	0.8883022	603	0.8004640371229699	True
TSNAX	1.5548180044334	2.5682614	0.0940916	485	0.8395757374875704	0.88572747	604	0.8001325820351343	True
SPINK5	-0.0623586445978213	1.6539448	0.12775347	633	0.7905203844879019	0.8855664	605	0.7998011269472987	True
ACE	-10.8761291256083	-1.676165	0.25039953	1508	0.5004971826317534	0.885248	606	0.799469671859463	True
FSTL3	1.03099768506254	2.6998322	0.08899714	470	0.8445475638051044	0.8842017	607	0.7991382167716274	True
TOP1	-5.67655056698684	-3.1834078	0.30397508	1932	0.3599602253894597	0.873137	609	0.7984753065959562	True
LAMA4	2.01361160921511	1.4136513	0.13428222	678	0.7756049055352999	0.8711912	610	0.7981438515081206	True
NUB1	2.66557870045416	2.44192	0.09619187	507	0.8322837255551873	0.86993045	611	0.797812396420285	True
CAPN3	4.01135463075958	1.4757521	0.13119586	670	0.7782565462379848	0.8662553	612	0.7974809413324494	True
PTRHD1	1.78822751293726	2.9695997	0.076101966	433	0.8568114020550216	0.8659262	614	0.7968180311567783	True
MED18	2.27210922814847	2.9913921	0.0750984	429	0.8581372224063639	0.86468565	615	0.7964865760689427	True
NAPRT	4.18692523326125	3.1414638	0.069024	406	0.8657606894265827	0.8613155	616	0.7961551209811071	True
MANEAL	1.03677939023214	2.5248795	0.09163829	495	0.8362611866092144	0.8606743	617	0.7958236658932715	True
BGLAP	2.32680358810266	2.2216225	0.10279222	540	0.8213457076566125	0.86055344	618	0.7954922108054359	True
CPOX	2.04301352322124	2.1059377	0.1069616	559	0.8150480609877362	0.85997844	619	0.7951607557176003	True
SDC4	7.74935350985258	2.92032	0.07649143	441	0.8541597613523367	0.8571072	620	0.7948293006297646	True
SIT1	2.97533323231841	2.80449	0.080176055	458	0.8485250248591316	0.8535016	621	0.794497845541929	True
SPINK4	2.02709520855366	1.8886172	0.11388593	589	0.8051044083526682	0.8532829	622	0.7941663904540934	True
C9orf40	0.0	3.1121764	0.068606675	411	0.8641034139874048	0.85206264	623	0.7938349353662578	True
