gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
SSU72	PhenoAge	4	9.03171492684285e-08	0.000272590348855779	0	4	290
CTBP2	PhenoAge	4	9.059441709983e-08	0.000597371260463448	0	4	291
MECOM	PhenoAge	4	9.24989507636948e-08	0.00028848531846948	0	4	292
BRSK2	PhenoAge	4	1.01316817773488e-07	0.000258834005820431	0	4	293
THAP4	PhenoAge	4	1.22167769806509e-07	0.000343890754154323	0	4	294
CYB561	PhenoAge	4	1.23065475366307e-07	0.000407880585389919	0	4	295
ZMIZ1	PhenoAge	4	1.31503275140849e-07	0.000684071801961369	0	4	296
SCAND3	PhenoAge	4	1.37399241726977e-07	0.000473356588517396	0	4	297
LMNA	PhenoAge	4	1.48984377810527e-07	0.000386602846690551	0	4	298
LINC00925	PhenoAge	4	2.21967596985095e-07	0.000607446175455916	0	4	299
RP11-753H16.3, RP11-753H16.5, ZNF385A	PhenoAge	4	2.36443127595384e-07	0.000898482470706947	0	4	300
HOXD3	PhenoAge	4	2.50062383473042e-07	0.000351809774260133	0	4	301
LDLRAD4	PhenoAge	4	2.505597467584e-07	0.000916278399533977	0	4	302
FOXN3	PhenoAge	4	2.7081633598123e-07	0.000796467151808437	0	4	303
GAS7	PhenoAge	4	2.88146369563209e-07	0.000849192293587769	1	3	304
WNT5B	PhenoAge	4	3.1089361356053e-07	0.000603447476525423	0	4	305
FASN	PhenoAge	4	3.40470165639653e-07	0.000252264452130097	0	4	306
DPP6	PhenoAge	4	3.43308490570395e-07	0.000541669352480608	0	4	307
KIF21B	PhenoAge	4	3.80425228934425e-07	0.000775654958434082	0	4	308
DUSP22	PhenoAge	4	3.81249244145112e-07	0.000446793183214077	0	4	309
BDH1	PhenoAge	4	3.85612862695128e-07	0.000699698127860335	0	4	310
SATB2-AS1, SATB2	PhenoAge	4	3.86557591111798e-07	0.000462295228186794	0	4	311
WDR20	PhenoAge	4	3.90069442612885e-07	0.000636954138556999	0	4	312
PITX2	PhenoAge	4	4.15791659245385e-07	0.000459086805004825	0	4	313
SLC4A11	PhenoAge	4	4.21967608062619e-07	0.000256839730622152	0	4	314
SSH1	PhenoAge	4	4.26493248650338e-07	0.000595156226197826	0	4	315
PPP2R2D	PhenoAge	4	5.10077086525817e-07	0.000283412391051232	0	4	316
SMARCA4	PhenoAge	4	5.12097690749431e-07	0.000606434662909929	1	3	317
RARA	PhenoAge	4	5.88960562787143e-07	0.000826783434652324	0	4	318
PRDM11	PhenoAge	4	5.98408030528278e-07	0.000352122753941903	0	4	319
SMAD3	PhenoAge	4	6.24910405114533e-07	0.00062569591038705	0	4	320
SQSTM1	PhenoAge	4	8.30337020022199e-07	0.000546436366198035	0	4	321
KDM2B	PhenoAge	4	8.53405458350379e-07	0.00031345340381115	0	4	322
PARD3	PhenoAge	4	9.7741595195e-07	0.000527252315952664	0	4	323
SH3BP4	PhenoAge	4	1.03675762858714e-06	0.000356884219088497	0	4	324
RXRA	PhenoAge	4	1.10030257700942e-06	0.000602311209286779	0	4	325
GALNT2	PhenoAge	4	1.13536776438076e-06	0.000344018803184334	0	4	326
RIMBP2, RP11-662M24.2	PhenoAge	4	1.14957616912009e-06	0.00026677182001998	0	4	327
CEP72	PhenoAge	4	1.27482976155044e-06	0.000338413490779421	0	4	328
NSG1	PhenoAge	4	1.43048512960454e-06	0.000390281681718179	0	4	329
MOB2	PhenoAge	4	1.46120423082843e-06	0.000242221805603867	0	4	330
AATK	PhenoAge	4	1.46845997432327e-06	0.000935231386061475	0	4	331
RREB1	PhenoAge	4	1.48927437317954e-06	0.000217704668250701	0	4	332
KCTD5	PhenoAge	4	1.55591158303041e-06	0.000539669318320484	0	4	333
ANKLE2	PhenoAge	4	1.59693283501639e-06	0.000310117505153556	0	4	334
