Gene	PC1_nCohorts	PC1_mean_loading	PC1_max_abs_loading	PC1_present_UKB	PC1_present_CKB	PC1_present_NHS1	PC1_organs_collapsed	PC1_consensus2	PC1_consensus3	PC1_abs_mean_loading
CLEC4D	3	0.13370669548054	0.151913637804327	1	1	1	Immune	1	1	0.13370669548054
GZMA	3	0.112434045234811	0.125512539837324	1	1	1	Immune	1	1	0.112434045234811
CEACAM8	3	0.148412054370935	0.183567585650882	1	1	1	Immune	1	1	0.148412054370935
CR1	3	0.123720280928205	0.133085648246409	1	1	1	Immune	1	1	0.123720280928205
ADGRE1	3	0.112262633804155	0.141521038249536	1	1	1	Immune	1	1	0.112262633804155
ICAM3	3	0.119321499720152	0.135172160638953	1	1	1	Immune	1	1	0.119321499720152
ADGRE2	3	0.125269094323139	0.147706908655969	1	1	1	Immune	1	1	0.125269094323139
SIRPB1	3	0.128843850648734	0.150548655193174	1	1	1	Immune	1	1	0.128843850648734
CSF1R	3	0.109139796634854	0.128652701695727	1	1	1	Immune	1	1	0.109139796634854
HCLS1	3	0.134322841097378	0.148745655964728	1	1	1	Immune	1	1	0.134322841097378
CD300A	3	0.129734458780097	0.141737714043535	1	1	1	Immune	1	1	0.129734458780097
LILRA5	3	0.123607589930905	0.134384171321075	1	1	1	Immune	1	1	0.123607589930905
CD79B	3	0.117987033196203	0.151202617571427	1	1	1	Immune	1	1	0.117987033196203
CD48	3	0.143078759240404	0.156914761273569	1	1	1	Immune	1	1	0.143078759240404
SIGLEC10	3	0.133004831379155	0.154651779629424	1	1	1	Immune	1	1	0.133004831379155
APBB1IP	3	0.150701301906146	0.165772699688659	1	1	1	Immune	1	1	0.150701301906146
CD72	3	0.128270017333828	0.148416570894206	1	1	1	Immune	1	1	0.128270017333828
CD244	3	0.136269212811631	0.149033833559619	1	1	1	Immune	1	1	0.136269212811631
TNFRSF1B	3	0.137589387341197	0.152758903278636	1	1	1	Immune	1	1	0.137589387341197
ADAM8	3	0.173118210463444	0.190893139492099	1	1	1	Immune	1	1	0.173118210463444
GUCY2C	3	-0.0223311390785488	0.0451912769497489	1	1	1	Intestine	1	1	0.0223311390785488
CEACAM18	3	-0.00108561833710251	0.00656519342345938	1	1	1	Intestine	1	1	0.00108561833710251
NXPE4	3	-0.0384516783973246	0.0939950922689151	1	1	1	Intestine	1	1	0.0384516783973246
MEP1B	3	-0.00801637933966875	0.0354594538012879	1	1	1	Intestine	1	1	0.00801637933966875
MUC2	3	-0.0330773653017698	0.0807245988676297	1	1	1	Intestine	1	1	0.0330773653017698
OLFM4	3	-0.0204037776011275	0.0903862469757662	1	1	1	Intestine	1	1	0.0204037776011275
GPA33	3	-0.0636251204203679	0.138225994017138	1	1	1	Intestine	1	1	0.0636251204203679
LYPD8	3	-0.0132779905992744	0.0848469588878371	1	1	1	Intestine	1	1	0.0132779905992744
CEACAM20	2	-0.0310906059661515	0.164457741097983	1	1	0	Intestine	1	0	0.0310906059661515
MEP1A	3	-0.0154282623467607	0.152948562223923	1	1	1	Intestine	1	1	0.0154282623467607
PYY	3	-0.0325180221875417	0.137193217573076	1	1	1	Intestine	1	1	0.0325180221875417
ALPI	3	-0.0409060638055316	0.171900158890509	1	1	1	Intestine	1	1	0.0409060638055316
FABP6	3	-0.0503671495925801	0.212472319150575	1	1	1	Intestine	1	1	0.0503671495925801
MUC13	3	-0.0551225884390483	0.210528773258861	1	1	1	Intestine	1	1	0.0551225884390483
CCL11	3	-0.0725040522485141	0.22573014284464	1	1	1	Intestine	1	1	0.0725040522485141
CDH17	3	-0.0627027634255	0.234252920964094	1	1	1	Intestine	1	1	0.0627027634255
SPINK4	3	-0.0718827797593736	0.247162405228551	1	1	1	Intestine	1	1	0.0718827797593736
GUCA2A	3	-0.0948979392776001	0.273492263542291	1	1	1	Intestine	1	1	0.0948979392776001
PPP1R14D	3	-0.109783849154531	0.326867641468813	1	1	1	Intestine	1	1	0.109783849154531
CCL25	3	-0.10526672387703	0.309451662630236	1	1	1	Intestine	1	1	0.10526672387703
REG4	3	-0.0760812897334608	0.319346823665001	1	1	1	Intestine	1	1	0.0760812897334608
RBP2	3	-0.118400990908529	0.371416395033576	1	1	1	Intestine	1	1	0.118400990908529
FABP2	3	-0.112075101677938	0.351174626478921	1	1	1	Intestine	1	1	0.112075101677938
LGALS4	3	-0.119411868297642	0.364258195948554	1	1	1	Intestine	1	1	0.119411868297642
UMOD	3	-0.266111835943495	0.601937714297668	1	1	1	Kidney	1	1	0.266111835943495
BSND	3	-0.0299830237252285	0.223706470887077	1	1	1	Kidney	1	1	0.0299830237252285
