Gene	PC1_nCohorts	PC1_mean_loading	PC1_max_abs_loading	PC1_present_UKB	PC1_present_CKB	PC1_present_NHS1	PC1_organs_collapsed	PC1_consensus2	PC1_consensus3	PC1_abs_mean_loading
TNNI3	3	-0.501327198508481	0.70319509670518	1	1	1	Heart	1	1	0.501327198508481
MYL4	3	-0.260566673211061	0.390283074741301	1	1	1	Heart	1	1	0.260566673211061
NPPB	3	-0.434669039650941	0.706146162362689	1	1	1	Heart	1	1	0.434669039650941
NMRK2	3	-0.246272146453199	0.434781767074335	1	1	1	Heart	1	1	0.246272146453199
PXDNL	3	-0.208524906226595	0.383372512748219	1	1	1	Heart	1	1	0.208524906226595
BMP10	3	-0.166618742626574	0.426477193512517	1	1	1	Heart	1	1	0.166618742626574
IL18RAP	3	0.0114103115974659	0.0200375412916029	1	1	1	Immune	1	1	0.0114103115974659
HBQ1	3	0.0469856220290969	0.0847013187577575	1	1	1	Immune	1	1	0.0469856220290969
TARM1	3	0.00675673207692348	0.0135607681962086	1	1	1	Immune	1	1	0.00675673207692348
KIR3DL2	3	0.0142534805798185	0.0238908803033875	1	1	1	Immune	1	1	0.0142534805798185
KIR2DS4	3	0.00935031776969605	0.011804738264444	1	1	1	Immune	1	1	0.00935031776969605
IL24	3	0.00894449056256377	0.0144468554862468	1	1	1	Immune	1	1	0.00894449056256377
FOLR3	3	0.0181982859072835	0.0211837046374274	1	1	1	Immune	1	1	0.0181982859072835
LRTM1	3	0.00950930605560324	0.0168813229043004	1	1	1	Immune	1	1	0.00950930605560324
SELPLG	3	-0.00203994446019837	0.0253670879243629	1	1	1	Immune	1	1	0.00203994446019837
EVI2B	3	0.0160163931575793	0.0306917936678995	1	1	1	Immune	1	1	0.0160163931575793
LILRA4	3	0.0211587134889976	0.0357522319779062	1	1	1	Immune	1	1	0.0211587134889976
APOBR	3	0.0157263209034124	0.0353531568022099	1	1	1	Immune	1	1	0.0157263209034124
KIR3DL1	3	0.0194282158951455	0.0255297183831992	1	1	1	Immune	1	1	0.0194282158951455
AHSP	3	0.0650793542781736	0.103573658373924	1	1	1	Immune	1	1	0.0650793542781736
IL2RB	3	0.0203951951925358	0.02709749934428	1	1	1	Immune	1	1	0.0203951951925358
ARHGAP30	3	0.0208611886982714	0.0362961397314532	1	1	1	Immune	1	1	0.0208611886982714
CD177	3	0.0487337147532066	0.0599935615382747	1	1	1	Immune	1	1	0.0487337147532066
BST1	3	0.0507739872993122	0.0671798513533768	1	1	1	Immune	1	1	0.0507739872993122
CEACAM3	3	0.0362706154105598	0.0390870801737159	1	1	1	Immune	1	1	0.0362706154105598
HMOX1	3	0.0395359477122524	0.0564989892568695	1	1	1	Immune	1	1	0.0395359477122524
LTB	3	0.0264953831135627	0.0379150142315882	1	1	1	Immune	1	1	0.0264953831135627
KIR2DL3	3	0.0374675196198641	0.0455536823912301	1	1	1	Immune	1	1	0.0374675196198641
IL2RG	3	0.0377708898519263	0.056386126615732	1	1	1	Immune	1	1	0.0377708898519263
CD1C	3	0.0558134660262484	0.0581095276747384	1	1	1	Immune	1	1	0.0558134660262484
LILRA6	3	0.0523865409993215	0.0572825262742816	1	1	1	Immune	1	1	0.0523865409993215
IL1R2	3	0.0582860496192281	0.0640418604642819	1	1	1	Immune	1	1	0.0582860496192281
PADI4	3	0.0919515885574874	0.139254950115634	1	1	1	Immune	1	1	0.0919515885574874
TLR1	3	0.0792617497361401	0.093524122701995	1	1	1	Immune	1	1	0.0792617497361401
WAS	3	0.0631934987090866	0.117274472444986	1	1	1	Immune	1	1	0.0631934987090866
FCRL3	3	0.0588395841102456	0.0640406635533258	1	1	1	Immune	1	1	0.0588395841102456
FCGR2A	3	0.0924619783127766	0.135347734979067	1	1	1	Immune	1	1	0.0924619783127766
SIGLEC5	3	0.0599919463438956	0.0828548483074261	1	1	1	Immune	1	1	0.0599919463438956
LCP1	3	0.0653460103266079	0.071860369095686	1	1	1	Immune	1	1	0.0653460103266079
FCRL5	3	0.0627036197055479	0.0793190939143798	1	1	1	Immune	1	1	0.0627036197055479
CD5L	3	0.0723131747595792	0.0857620842146528	1	1	1	Immune	1	1	0.0723131747595792
PRG3	3	0.0657248936671146	0.0769653635984335	1	1	1	Immune	1	1	0.0657248936671146
CD8A	3	0.0626922973054411	0.0919905745718147	1	1	1	Immune	1	1	0.0626922973054411
MNDA	3	0.105394330502311	0.13931466140036	1	1	1	Immune	1	1	0.105394330502311
TNFRSF10C	3	0.0835845923583716	0.102373851227066	1	1	1	Immune	1	1	0.0835845923583716
KLRF1	3	0.0590865090784174	0.0787168591796643	1	1	1	Immune	1	1	0.0590865090784174
GZMB	3	0.0732331693007861	0.0805318528870219	1	1	1	Immune	1	1	0.0732331693007861
FCGR3B	3	0.0803919822711305	0.0897883372996677	1	1	1	Immune	1	1	0.0803919822711305
GNLY	3	0.092522527669558	0.109509433386353	1	1	1	Immune	1	1	0.092522527669558
CR2	3	0.0847539555732958	0.0874898936417283	1	1	1	Immune	1	1	0.0847539555732958
CFP	3	0.077935708949044	0.083565352444863	1	1	1	Immune	1	1	0.077935708949044
FCN1	3	0.0715783556413668	0.0843523592461503	1	1	1	Immune	1	1	0.0715783556413668
CXCL1	3	0.0490265260475831	0.0862822130856369	1	1	1	Immune	1	1	0.0490265260475831
CST7	3	0.0709799317418238	0.115165012653611	1	1	1	Immune	1	1	0.0709799317418238
S100A12	3	0.116680618057802	0.152791241426778	1	1	1	Immune	1	1	0.116680618057802
GZMH	3	0.0887743703697795	0.0978264416311086	1	1	1	Immune	1	1	0.0887743703697795
SELL	3	0.086380307393375	0.0893823413278019	1	1	1	Immune	1	1	0.086380307393375
ITGAM	3	0.080736040987172	0.111951267906858	1	1	1	Immune	1	1	0.080736040987172
CLC	3	0.106626459890356	0.132571892599715	1	1	1	Immune	1	1	0.106626459890356
TNFRSF13C	3	0.0894061400755161	0.111553375510994	1	1	1	Immune	1	1	0.0894061400755161
VNN2	3	0.112029478214891	0.131366211703994	1	1	1	Immune	1	1	0.112029478214891
STAB2	3	0.0913796653184599	0.0960621147576199	1	1	1	Immune	1	1	0.0913796653184599
PF4	3	0.0561320309869027	0.0944207429325636	1	1	1	Immune	1	1	0.0561320309869027
FCRL2	3	0.0813176629865069	0.111353182858704	1	1	1	Immune	1	1	0.0813176629865069
CCL5	3	0.063316144664241	0.0966696649796419	1	1	1	Immune	1	1	0.063316144664241
NCF2	3	0.117800263847109	0.136020113169405	1	1	1	Immune	1	1	0.117800263847109
PPBP	3	0.0626705457971403	0.102067842061902	1	1	1	Immune	1	1	0.0626705457971403
MMP9	3	0.114959694129626	0.143117999705251	1	1	1	Immune	1	1	0.114959694129626
PSTPIP2	3	0.0926611504501925	0.122838629664312	1	1	1	Immune	1	1	0.0926611504501925
CXCL13	3	0.0898801933417012	0.104060176373318	1	1	1	Immune	1	1	0.0898801933417012
BIN2	3	0.0952221342382346	0.121599357661747	1	1	1	Immune	1	1	0.0952221342382346
TREML1	3	0.0781350076057924	0.107461851887547	1	1	1	Immune	1	1	0.0781350076057924
LAT2	3	0.11394609173068	0.13489103829109	1	1	1	Immune	1	1	0.11394609173068
CXCL6	3	0.0907590215558608	0.108849151862938	1	1	1	Immune	1	1	0.0907590215558608
OSM	3	0.112692943654099	0.127005848095935	1	1	1	Immune	1	1	0.112692943654099
FGR	3	0.10437233452064	0.111402004388949	1	1	1	Immune	1	1	0.10437233452064
NCR1	3	0.0978150902816505	0.113435162073179	1	1	1	Immune	1	1	0.0978150902816505
FCER2	3	0.097439596949771	0.119313579088525	1	1	1	Immune	1	1	0.097439596949771
CSF3R	3	0.122867105275381	0.132354419279945	1	1	1	Immune	1	1	0.122867105275381
NFE2	3	0.125331132593868	0.160687876583717	1	1	1	Immune	1	1	0.125331132593868
MMP8	3	0.13096720404178	0.152132703361142	1	1	1	Immune	1	1	0.13096720404178
CORO1A	3	0.126521050720826	0.163693861775622	1	1	1	Immune	1	1	0.126521050720826
RNASE3	3	0.125962329200869	0.155406227323188	1	1	1	Immune	1	1	0.125962329200869
FCAR	3	0.133017005351015	0.160034442078676	1	1	1	Immune	1	1	0.133017005351015
SIGLEC7	3	0.108413271132761	0.117165184325864	1	1	1	Immune	1	1	0.108413271132761
FCRL1	3	0.107157470601795	0.124982162062276	1	1	1	Immune	1	1	0.107157470601795
FGD3	3	0.11329633450714	0.137759007851191	1	1	1	Immune	1	1	0.11329633450714
LILRB1	3	0.100747015784373	0.119378719136824	1	1	1	Immune	1	1	0.100747015784373
TNFAIP8L2	3	0.123683135985905	0.159074810907378	1	1	1	Immune	1	1	0.123683135985905
ITGB2	3	0.137218056399977	0.155773866425822	1	1	1	Immune	1	1	0.137218056399977
LRRC25	3	0.0968332761791278	0.129832603539692	1	1	1	Immune	1	1	0.0968332761791278
PRTN3	3	0.142308714804579	0.17248165514025	1	1	1	Immune	1	1	0.142308714804579
PGLYRP1	2	0.127285363969887	0.129857213869177	1	1	0	Immune	1	0	0.127285363969887
VSIR	3	0.114845532256278	0.124795493704141	1	1	1	Immune	1	1	0.114845532256278
LILRA2	3	0.0827827910996229	0.124822454960585	1	1	1	Immune	1	1	0.0827827910996229
