gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
SYNPO	Horvath	3	1.67738213035939e-05	0.000559162564535039	0	3	197
SORCS2	Horvath	3	1.90420159250807e-05	0.000566921014614331	0	3	198
ZNF311	Horvath	3	2.43168735606206e-05	0.000396860522633177	0	3	199
CAMK2B	Horvath	3	2.82196147336657e-05	0.000389149193368237	0	3	200
TECTA	Horvath	3	2.85879393401653e-05	0.000377145004049786	0	3	201
TRPV1, SHPK	Horvath	3	3.59015020674471e-05	0.000398454774854974	0	3	202
AACS	Horvath	3	3.88129234296097e-05	0.000507423149118386	0	3	203
CAPN10	Horvath	3	4.72904611975092e-05	0.000295628148257218	0	3	204
SLC6A3	Horvath	3	5.55939301394566e-05	0.000631057050501502	0	3	205
VWF	Horvath	3	5.73276578391085e-05	0.000470404981167655	0	3	206
PLXNA1	Horvath	3	5.9862240226784e-05	0.000432336155377797	0	3	207
AGPAT4	Horvath	3	6.1452111974843e-05	0.000488361606645179	0	3	208
FARP1	Horvath	3	6.61724248360546e-05	0.000349032335160318	0	3	209
ILF3	Horvath	3	6.65375801762624e-05	0.000261101777399442	0	3	210
SRRT	Horvath	3	7.0974131942848e-05	0.000411024597138534	0	3	211
ABCF1	Horvath	3	7.15051519060313e-05	0.000331852114394244	0	3	212
PLXNB2	Horvath	3	7.33471013480583e-05	0.000435216292721035	0	3	213
SPG7	Horvath	3	7.49144326611414e-05	0.000371739672082178	0	3	214
P2RY6	Horvath	3	7.89459974097692e-05	0.000375546632367449	0	3	215
SLC9A3	Horvath	3	8.1955564318287e-05	0.000464729463387582	0	3	216
TECPR2	Horvath	3	8.26093452188206e-05	0.000333771896381115	0	3	217
TSPAN9	Horvath	3	8.28259153870265e-05	0.000330414408462907	0	3	218
NFASC	Horvath	3	8.48025405293933e-05	0.000287060047251153	0	3	219
PLCB2	Horvath	3	8.82426060264086e-05	0.00104291996150815	0	3	220
RUNX3	Horvath	3	9.3345534773066e-05	0.000540733961269275	0	3	221
ZFPM1	Horvath	3	9.80559513685563e-05	0.000301965086793399	0	3	222
SLC45A1	Horvath	3	0.000102829649223885	0.000308615967438146	0	3	223
ARHGAP22	Horvath	3	0.000103064883284894	0.000367002555284429	2	1	224
CALD1	Horvath	3	0.000103966122067167	0.000446155791695411	0	3	225
VGLL4	Horvath	3	0.000107100036516466	0.000302923319986459	0	3	226
PFKFB3	Horvath	3	0.000110346789641902	0.00072766297140031	0	3	227
CEP170B	Horvath	3	0.000112230217812594	0.000366068819562269	1	2	228
TTLL8	Horvath	3	0.000125664610115794	0.000293319822889329	0	3	229
PIP5K1C	Horvath	3	0.000127763492323167	0.000523189559831669	0	3	230
IFT140	Horvath	3	0.000128024163823654	0.000317514396475011	0	3	231
ANO1	Horvath	3	0.000144032952328192	0.000492383676501159	0	3	232
RP11-386M24.3	Horvath	3	0.000144054717727333	0.000458076550386779	0	3	233
WFDC1	Horvath	3	0.000146476678157801	0.000340504481189937	0	3	234
RP11-517H2.6, CCR6	Horvath	3	0.000162572489620103	0.000427323994304185	0	3	235
NTM	Horvath	3	0.00016931539720569	0.000628451974741019	0	3	236
SNED1, AC005237.4	Horvath	3	0.000171847280768569	0.00044818235453577	0	3	237
TMEM179	Horvath	3	0.00017270244973932	0.000480344621938539	0	3	238
SNX8	Horvath	3	0.000172845121589339	0.000320121152966584	0	3	239
CHID1	Horvath	3	0.000190293131695205	0.00061470810258602	0	3	240
PITPNM2	Horvath	3	0.000191841613218008	0.000269154779174849	0	3	241
PCSK6	Horvath	3	0.000193308109405506	0.00049979152995277	0	3	242
MYH9	Horvath	3	0.000195324019163266	0.000287510956299752	0	3	243
HDLBP	Horvath	3	0.000198261135602914	0.000276081565775287	0	3	244
C17orf70	Horvath	3	0.000199559649182916	0.000289820139592165	0	3	245
TP73	Horvath	3	0.000199708852233033	0.000529057215491864	0	3	246
C2orf54	Horvath	3	0.000210857241931722	0.000368769597323952	0	3	247
ANKLE2	Horvath	3	0.000211977276693883	0.000678172747531966	0	3	248
SKI	Horvath	3	0.000212459929793736	0.000487154254584526	0	3	249
RIMBP2, RP11-662M24.2	Horvath	3	0.00021832633086362	0.000415776450428572	0	3	250
TSPEAR	Horvath	3	0.000218727878871181	0.000493736374434795	0	3	251
TRIM2	Horvath	3	0.000224319553667514	0.000383555447408064	0	3	252
FLT4	Horvath	3	0.000224948652508451	0.000388268423147458	0	3	253
BCL7A	Horvath	3	0.000230607899697026	0.000616908933012086	0	3	254
WWOX	Horvath	3	0.000232421488845491	0.00028277803881097	0	3	255
SH3BP4	Horvath	3	0.000243557643409506	0.000379819512166686	0	3	256
CTC-232P5.1, RFX2	Horvath	3	0.00024853345183503	0.000346825531366894	0	3	257
TCERG1L	Horvath	3	0.000250562005785998	0.000372007415038808	1	2	258
