from	to
ADGRF5	ADAMTS1
ADGRF5	TNN
ADGRF5	ADAMTS4
ADGRF5	ATRN
ADGRF5	CAPN3
ADGRF5	CDH15
ADGRF5	ADGRG1
ADGRG1	BMPER
ADGRG1	ADAMTS4
ADGRG1	C7
ADGRG1	CAPS
ADGRG1	ABO
ADGRG1	APOB
ADGRG1	AGRN
ADGRG1	CALB2
ADGRG1	BTNL10
ADGRG1	CEACAM20
ADGRG1	C7orf50
ADGRG1	CD177
ADGRG1	BRAP
ADGRG1	BRAP
ADGRG1	ANP32C
ADGRG2	CBLIF
ADGRG2	CCN5
ADGRG2	ATP2B4
ADGRG2	CD200
ADGRG2	APPL2
ADGRG2	CD164
ADGRG2	ASPN
ADGRG2	CALY
ADGRG2	ABRAXAS2
ADGRG2	CBLN1
ADGRG2	ALMS1
ADGRG2	AHNAK2
ADGRG2	ARHGAP45
ADGRG2	CENPJ
ADGRG2	ANK2
ADGRV1	ATP5F1D
ADGRV1	BRME1
ADGRV1	CD300A
ADGRV1	ALMS1
ADGRV1	CCN5
ADGRV1	CD164
ADGRV1	ARHGAP25
ADGRV1	CD200
ADGRV1	ARNTL
ADGRV1	ATP2B4
ADGRV1	APPL2
ADGRV1	CBLIF
ADGRV1	ADGRG2
ADGRV1	ARHGAP45
ADGRV1	ATP5IF1
ADH1B	AHCY
ADH1B	ANXA3
ADH1B	AKR1B1
ADH1B	AKR1B10
ADH1B	ADH4
ADH1B	BLMH
ADH1B	AAMDC
ADH1B	ARG1
ADH1B	ANXA5
ADH1B	CA13
ADH1B	ATOX1
ADH1B	AKR1C4
ADH1B	AGXT
ADH1B	CA3
ADH1B	GSTT2B
ADH4	AKR1B1
ADH4	BLMH
ADH4	ADH1B
ADH4	AGXT
ADH4	ANXA3
ADH4	CA13
ADH4	ATOX1
ADH4	AKR1C4
ADH4	AHCY
ADH4	AAMDC
ADH4	ARG1
ADH4	AKR1B10
ADH4	CD36
ADH4	ACY1
ADH4	ANXA5
ADIPOQ	CCL16
ADIPOQ	CD46
ADIPOQ	AHSA1
ADIPOQ	CD40
ADIPOQ	CD302
ADIPOQ	CCN3
ADIPOQ	CBLN4
ADIPOQ	AP3S2
ADIPOQ	CACYBP
ADIPOQ	AMN
ADIPOQ	CD2
ADIPOQ	CEACAM3
ADIPOQ	CD300E
ADIPOQ	CASP4
ADIPOQ	APOE
ADIPOR2	PIGB
ADIPOR2	RFX7
ADIPOR2	RSL24D1
ADIPOR2	RAB27A
ADIPOR2	PIGBOS1
ADIPOR2	ZNF280D
ADIPOR2	CCPG1
ADIPOR2	TULP3
ADIPOR2	CDC27
ADIPOR2	EFCAB13
ADIPOR2	NPEPPS
ADIPOR2	RHNO1
ADIPOR2	FKBP4
ADIPOR2	MRPL45P2
ADIPOR2	KPNB1-DT
ADM	C9orf40
ADM	BCL7A
ADM	CD99
ADM	INSL3
ADM	BID
ADM	CALCB
ADM	BCL2L11
ADM	CD99L2
ADM	AGRP
ADM	AKT1S1
ADM	BEX3
ADM	DKKL1
ADM	BPIFA2
ADM	HDGF
ADM	C19orf12
ADRA2A	ARHGEF1
ADRA2A	ANXA11
ADRA2A	ARL13B
ADRA2A	AZI2
ADRA2A	ASPSCR1
ADRA2A	BAIAP2
ADRA2A	CD300LF
ADRA2A	BMP6
ADRA2A	APBB1IP
ADRA2A	BNIP2
ADRA2A	CD55
ADRA2A	ARFIP1
ADRA2A	APLP1
ADRA2A	LILRB5
ADRA2A	AMIGO2
AFAP1	ADD1
AFAP1	BRD3
AFAP1	CCAR2
AFAP1	CD248
AFAP1	C2CD2L
AFAP1	BRSK2
AFAP1	BMP6
AFAP1	AZI2
AFAP1	BANK1
AFAP1	BOC
AFAP1	BAIAP2
AFAP1	BIN2
AFAP1	ACRBP
AFAP1	APP
AFAP1	ASPSCR1
AFM	CEACAM16
AFM	BPIFB2
AFM	CAT
AFM	CAT
AFM	CAT
AFM	AMY1A
AFM	ACSL1
AFM	CELA2A
AFM	ASAH2
AFM	CCT5
AFM	A1BG
AFM	CAPG
AFM	CAPG
AFM	C1S
AFM	CD63
AFP	BPIFB1
AFP	ATXN10
AFP	CASQ2
AFP	C1S
AFP	ALPI
AFP	ARSB
AFP	ACE2
AFP	B4GAT1
AFP	ACADM
AFP	ANXA2
AFP	APOH
AFP	FUCA1
AFP	ACSL1
AFP	CDC37
AFP	CA6
AGBL2	ADAM22
AGBL2	CCAR2
AGBL2	BRSK2
AGBL2	ADAM12
AGBL2	BRD1
AGBL2	ADAMTSL4
AGBL2	AP3B1
AGBL2	BCAN
AGBL2	BOC
AGBL2	CDAN1
AGBL2	BAIAP2
AGBL2	ADAM23
AGBL2	ADAM23
AGBL2	APLP1
AGBL2	BRD3
AGER	ALCAM
AGER	CEACAM5
AGER	BCAM
AGER	CEACAM8
AGER	CD33
AGER	CEACAM6
AGER	CEACAM18
AGER	SIGLEC5
AGER	SIGLEC9
AGER	SIGLEC6
AGER	VSIG10
AGER	NCAM2
AGER	MCAM
AGER	CD70
AGER	CD48
AGR2	CD70
AGR2	CCDC134
AGR2	CA4
AGR2	CA12
AGR2	BSG
AGR2	CD58
AGR2	CD274
AGR2	CCL19
AGR2	ART5
AGR2	AIDA
AGR2	BLOC1S2
AGR2	CD48
AGR2	CD207
AGR2	AIF1L
AGR2	CD80
AGR3	ANG
AGR3	CCS
AGR3	BST1
AGR3	CELA3A
AGR3	CCL24
AGR3	CCL14
AGR3	ATP6V1F
AGR3	AZU1
AGR3	CARHSP1
AGR3	ATRAID
AGR3	CA6
AGR3	CCL26
AGR3	CEACAM21
AGR3	CCL7
AGR3	CCL5
AGRN	APOB
AGRN	CALB2
AGRN	BTNL10
AGRN	CEACAM20
AGRN	ABO
AGRN	C7orf50
AGRN	CD177
AGRN	AHNAK
AGRN	BRAP
AGRN	BRAP
AGRN	ANP32C
AGRN	AHNAK2
AGRN	ABRAXAS2
AGRN	CBLN1
AGRN	CALY
AGRP	CD83
AGRP	CDC26
AGRP	BPIFA2
AGRP	BLOC1S3
AGRP	AKT1S1
AGRP	CCL25
AGRP	CCL15
AGRP	BNIP2
AGRP	CALCB
AGRP	CCL23
AGRP	BTC
AGRP	CCDC50
AGRP	ARTN
AGRP	CD7
AGRP	CD160
AGT	A1BG
AGT	CD4
AGT	CEACAM16
AGT	CCS
AGT	BST1
AGT	ANGPTL7
AGT	CANT1
AGT	BMPER
AGT	CA6
AGT	AGR3
AGT	AFM
AGT	CELA3A
AGT	C8B
